MonthCode,Year,V1,V2,V3,V4
418,1944,1944.625,697.2,0,0
419,1944,1944.7084,700.2,0,0
420,1944,1944.7916,700.2,0,0
421,1944,1944.875,713.2,0,0
422,1944,1944.9584,702.2,0,0
423,1945,1945.0416,705.2,0,0
424,1945,1945.125,703.2,0,0
425,1945,1945.2084,706.2,0,0
426,1945,1945.2916,686.2,0,0
427,1945,1945.375,699.2,0,0
428,1945,1945.4584,696.2,0,0
429,1945,1945.5416,703.2,0,0
430,1945,1945.625,702.2,0,0
431,1945,1945.7084,698.2,0,0
432,1945,1945.7916,696.2,0,0
433,1945,1945.875,714.2,0,0
434,1945,1945.9584,719.2,0,0
435,1946,1946.0416,706.2,0,0
436,1946,1946.125,712.2,0,0
437,1946,1946.2084,704.2,0,0
438,1946,1946.2916,698.2,0,0
439,1946,1946.375,701.2,0,0
440,1946,1946.4584,705.2,0,0
441,1946,1946.5416,705.2,0,0
442,1946,1946.625,699.2,0,0
443,1946,1946.7084,703.2,0,0
444,1946,1946.7916,699.2,0,0
445,1946,1946.875,702.2,0,0
446,1946,1946.9584,708.2,0,0
447,1947,1947.0416,697.2,0,0
448,1947,1947.125,703.2,0,0
449,1947,1947.2084,702.2,0,0
450,1947,1947.2916,696.2,0,0
451,1947,1947.375,698.2,0,0
452,1947,1947.4584,706.2,0,0
453,1947,1947.5416,703.2,0,0
454,1947,1947.625,703.2,0,0
455,1947,1947.7084,698.2,0,0
456,1947,1947.7916,717.2,0,0
457,1947,1947.875,698.2,0,0
458,1947,1947.9584,711.2,0,0
459,1948,1948.0416,707.2,0,0
460,1948,1948.125,709.2,0,0
461,1948,1948.2084,702.2,0,0
462,1948,1948.2916,712.2,0,0
463,1948,1948.375,706.2,0,0
464,1948,1948.4584,706.2,0,0
465,1948,1948.5416,704.2,0,0
466,1948,1948.625,704.2,0,0
467,1948,1948.7084,704.2,0,0
468,1948,1948.7916,700.2,0,0
469,1948,1948.875,707.2,0,0
470,1948,1948.9584,715.2,0,0
471,1949,1949.0416,691.2,0,0
472,1949,1949.125,716.2,0,0
473,1949,1949.2084,708.2,0,0
474,1949,1949.2916,694.2,0,0
475,1949,1949.375,703.2,0,0
476,1949,1949.4584,699.2,0,0
477,1949,1949.5416,698.2,0,0
478,1949,1949.625,702.2,0,0
479,1949,1949.7084,700.2,0,0
480,1949,1949.7916,690.2,0,0
481,1949,1949.875,709.2,0,0
482,1949,1949.9584,709.2,0,0
483,1950,1950.0416,707.2,0,0
484,1950,1950.125,709.2,0,0
485,1950,1950.2084,708.2,0,0
486,1950,1950.2916,699.2,0,0
487,1950,1950.375,693.2,0,0
488,1950,1950.4584,705.2,0,0
489,1950,1950.5416,707.2,0,0
490,1950,1950.625,704.2,0,0
491,1950,1950.7084,702.2,0,0
492,1950,1950.7916,723.2,0,0
