Year,V1,V2,V3,V4
1943,1943.375,692.2,0,0
1943,1943.4584,701.2,0,0
1943,1943.5416,702.2,0,0
1943,1943.625,702.2,0,0
1943,1943.7084,699.2,0,0
1943,1943.7916,707.2,0,0
1943,1943.875,701.2,0,0
1943,1943.9584,699.2,0,0
1944,1944.0416,708.2,0,0
1944,1944.125,699.2,0,0
1944,1944.2084,691.2,0,0
1944,1944.2916,698.2,0,0
1944,1944.375,692.2,0,0
1944,1944.4584,698.2,0,0
1944,1944.5416,699.2,0,0
1944,1944.625,697.2,0,0
1944,1944.7084,700.2,0,0
1944,1944.7916,700.2,0,0
1944,1944.875,713.2,0,0
1944,1944.9584,702.2,0,0
1945,1945.0416,705.2,0,0
1945,1945.125,703.2,0,0
1945,1945.2084,706.2,0,0
1945,1945.2916,686.2,0,0
1945,1945.375,699.2,0,0
1945,1945.4584,696.2,0,0
1945,1945.5416,703.2,0,0
1945,1945.625,702.2,0,0
1945,1945.7084,698.2,0,0
1945,1945.7916,696.2,0,0
1945,1945.875,714.2,0,0
1945,1945.9584,719.2,0,0
1946,1946.0416,706.2,0,0
1946,1946.125,712.2,0,0
1946,1946.2084,704.2,0,0
1946,1946.2916,698.2,0,0
1946,1946.375,701.2,0,0
1946,1946.4584,705.2,0,0
1946,1946.5416,705.2,0,0
1946,1946.625,699.2,0,0
1946,1946.7084,703.2,0,0
1946,1946.7916,699.2,0,0
1946,1946.875,702.2,0,0
1946,1946.9584,708.2,0,0
1947,1947.0416,697.2,0,0
1947,1947.125,703.2,0,0
1947,1947.2084,702.2,0,0
1947,1947.2916,696.2,0,0
1947,1947.375,698.2,0,0
1947,1947.4584,706.2,0,0
1947,1947.5416,703.2,0,0
1947,1947.625,703.2,0,0
1947,1947.7084,698.2,0,0
1947,1947.7916,717.2,0,0
1947,1947.875,698.2,0,0
1947,1947.9584,711.2,0,0
1948,1948.0416,707.2,0,0
1948,1948.125,709.2,0,0
1948,1948.2084,702.2,0,0
1948,1948.2916,712.2,0,0
1948,1948.375,706.2,0,0
1948,1948.4584,706.2,0,0
1948,1948.5416,704.2,0,0
1948,1948.625,704.2,0,0
1948,1948.7084,704.2,0,0
1948,1948.7916,700.2,0,0
1948,1948.875,707.2,0,0
1948,1948.9584,715.2,0,0
1949,1949.0416,691.2,0,0
1949,1949.125,716.2,0,0
1949,1949.2084,708.2,0,0
1949,1949.2916,694.2,0,0
1949,1949.375,703.2,0,0
1949,1949.4584,699.2,0,0
1949,1949.5416,698.2,0,0
1949,1949.625,702.2,0,0
1949,1949.7084,700.2,0,0
1949,1949.7916,690.2,0,0
1949,1949.875,709.2,0,0
1949,1949.9584,709.2,0,0
1950,1950.0416,707.2,0,0
1950,1950.125,709.2,0,0
1950,1950.2084,708.2,0,0
1950,1950.2916,699.2,0,0
1950,1950.375,693.2,0,0
1950,1950.4584,705.2,0,0
1950,1950.5416,707.2,0,0
1950,1950.625,704.2,0,0
1950,1950.7084,702.2,0,0
1950,1950.7916,723.2,0,0
1950,1950.875,712.2,0,0
1950,1950.9584,717.2,0,0
1951,1951.0416,716.2,0,0
1951,1951.125,714.2,0,0
1951,1951.2084,702.2,0,0
1951,1951.2916,695.2,0,0
1951,1951.375,701.2,0,0
1951,1951.4584,704.2,0,0
1951,1951.5416,706.2,0,0
1951,1951.625,704.2,0,0
1951,1951.7084,706.2,0,0
1951,1951.7916,710.2,0,0
1951,1951.875,717.2,0,0
1951,1951.9584,714.2,0,0
1952,1952.0416,724.2,0,0
1952,1952.125,712.2,0,0
1952,1952.2084,705.2,0,0
1952,1952.2916,696.2,0,0
1952,1952.375,695.2,0,0
1952,1952.4584,701.2,0,0
1952,1952.5416,703.2,0,0
1952,1952.625,703.2,0,0
1952,1952.7084,701.2,0,0
1952,1952.7916,695.2,0,0
1952,1952.875,701.2,0,0
1952,1952.9584,727.2,0,0
1953,1953.0416,731.2,0,0
1953,1953.125,699.2,0,0
1953,1953.2084,705.2,0,0
1953,1953.2916,698.2,0,0
1953,1953.375,704.2,0,0
1953,1953.4584,700.2,0,0
1953,1953.5416,702.2,0,0
1953,1953.625,704.2,0,0
1953,1953.7084,704.2,0,0
